Frame,MergedParticles,SplitParticles,TotalParticles
774,3,0,52494
775,3,2,52491
776,3,1,52490
777,5,1,52488
778,1,0,52484
779,1,0,52483
780,2,0,52482
781,1,0,52480
782,1,1,52479
783,2,3,52479
784,0,1,52480
785,4,0,52481
786,0,0,52477
787,2,0,52477
788,1,1,52475
789,2,0,52475
790,5,0,52473
791,2,0,52468
792,3,1,52466
793,2,0,52464
794,2,1,52462
795,3,0,52461
796,3,2,52458
797,5,0,52457
798,1,0,52452
799,2,0,52451
800,2,0,52449
801,3,1,52447
802,1,1,52445
803,3,1,52445
804,2,1,52443
805,1,0,52442
806,3,0,52441
807,4,0,52438
808,3,0,52434
809,1,1,52431
810,2,1,52431
811,1,1,52430
812,0,0,52430
813,3,0,52430
814,3,0,52427
815,0,0,52424
816,2,0,52424
817,4,1,52422
818,1,0,52419
819,2,1,52418
820,3,1,52417
821,1,0,52415
822,4,1,52414
823,1,1,52411
824,0,1,52411
825,1,0,52412
826,2,1,52411
827,1,0,52410
828,2,0,52409
829,0,0,52407
830,0,0,52407
831,1,0,52407
832,1,1,52406
833,4,0,52406
834,1,0,52402
835,5,2,52401
836,4,0,52398
837,2,1,52394
838,2,1,52393
839,3,2,52392
840,0,0,52391
841,0,0,52391
842,4,0,52391
843,0,0,52387
844,0,0,52387
845,2,0,52387
846,3,1,52385
847,4,1,52383
848,2,1,52380
849,3,1,52379
850,2,0,52377
851,2,0,52375
852,2,0,52373
853,2,1,52371
854,0,1,52370
855,1,0,52371
856,3,1,52370
857,1,2,52368
858,3,0,52369
859,1,0,52366
860,3,0,52365
861,2,0,52362
862,2,1,52360
863,3,2,52359
864,0,1,52358
865,1,2,52359
866,3,0,52360
867,2,0,52357
868,1,1,52355
869,2,0,52355
870,1,0,52353
871,2,0,52352
872,1,0,52350
873,2,1,52349
874,1,0,52348
875,1,0,52347
876,2,0,52346
877,5,0,52344
878,0,2,52339
879,3,0,52341
880,0,1,52338
881,1,1,52339
882,1,1,52339
883,1,2,52339
884,0,1,52340
885,6,0,52341
886,2,1,52335
887,4,0,52334
888,2,1,52330
889,3,0,52329
890,4,0,52326
891,1,0,52322
892,1,0,52321
893,0,0,52320
894,2,2,52320
895,0,2,52320
896,1,0,52322
897,2,0,52321
898,1,0,52319
899,1,1,52318
900,1,0,52318
901,0,1,52317
902,3,1,52318
903,0,0,52316
904,0,0,52316
905,2,0,52316
906,1,0,52314
907,2,2,52313
908,3,0,52313
909,0,1,52310
910,0,0,52311
911,2,0,52311
912,1,0,52309
913,4,0,52308
914,0,0,52304
915,3,0,52304
916,1,0,52301
917,2,0,52300
918,0,0,52298
919,1,0,52298
920,1,0,52297
921,0,0,52296
922,2,0,52296
923,2,1,52294
924,3,0,52293
925,0,0,52290
926,1,1,52290
927,0,0,52290
928,1,0,52290
929,4,0,52289
930,1,4,52285
931,1,0,52288
932,1,0,52287
933,0,0,52286
934,0,0,52286
935,2,1,52286
936,2,1,52285
937,0,1,52284
938,2,3,52285
939,4,0,52286
940,1,0,52282
941,3,0,52281
942,0,0,52278
943,2,1,52278
944,0,0,52277
945,2,0,52277
946,1,0,52275
947,0,1,52274
948,3,0,52275
949,4,1,52272
950,3,0,52269
951,2,0,52266
952,1,0,52264
953,3,1,52263
954,2,2,52261
955,2,0,52261
956,0,0,52259
957,3,1,52259
958,0,0,52257
959,1,0,52257
960,2,1,52256
961,2,0,52255
962,0,0,52253
963,0,1,52253
964,2,0,52254
965,0,0,52252
966,1,1,52252
967,0,0,52252
968,0,1,52252
969,1,0,52253
970,0,1,52252
971,3,0,52253
972,2,1,52250
973,1,1,52249
974,1,1,52249
975,0,0,52249
976,0,0,52249
977,2,1,52249
978,1,2,52248
979,2,0,52249
980,1,0,52247
981,0,1,52246
982,0,0,52247
983,0,0,52247
984,0,0,52247
985,1,0,52247
986,0,1,52246
987,1,0,52247
988,1,0,52246
989,1,0,52245
